Time [s], Packet ID, LED Index, Red, Green, Blue, Web-CSS
0.555587160000000,0,10,0x00,0x00,0x00,#000000
0.555617160000000,0,11,0x00,0x00,0x00,#000000
0.555647160000000,0,12,0x00,0x00,0x00,#000000
0.555677160000000,0,13,0x00,0x00,0x00,#000000
0.555707160000000,0,14,0x00,0x00,0x00,#000000
0.555737160000000,0,15,0x00,0x00,0x00,#000000
0.566131830000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.566161830000000,0,1,0x00,0x00,0x00,#000000
0.566191830000000,0,2,0x00,0x00,0x00,#000000
0.566221830000000,0,3,0x00,0x00,0x00,#000000
0.566251830000000,0,4,0x00,0x00,0x00,#000000
0.566281830000000,0,5,0x00,0x00,0x00,#000000
0.566311830000000,0,6,0x00,0x00,0x00,#000000
0.566341830000000,0,7,0x00,0x00,0x00,#000000
0.566371830000000,0,8,0x00,0x00,0x00,#000000
0.566401840000000,0,9,0x00,0x00,0x00,#000000
0.566431840000000,0,10,0x00,0x00,0x00,#000000
0.566461840000000,0,11,0x00,0x00,0x00,#000000
0.566491840000000,0,12,0x00,0x00,0x00,#000000
0.566521840000000,0,13,0x00,0x00,0x00,#000000
0.566551840000000,0,14,0x00,0x00,0x00,#000000
0.566581840000000,0,15,0x00,0x00,0x00,#000000
0.577049460000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.577079460000000,0,1,0x00,0x00,0x00,#000000
0.577109460000000,0,2,0x00,0x00,0x00,#000000
0.577139460000000,0,3,0x00,0x00,0x00,#000000
0.577169460000000,0,4,0x00,0x00,0x00,#000000
0.577199460000000,0,5,0x00,0x00,0x00,#000000
0.577229460000000,0,6,0x00,0x00,0x00,#000000
0.577259460000000,0,7,0x00,0x00,0x00,#000000
0.577289460000000,0,8,0x00,0x00,0x00,#000000
0.577319460000000,0,9,0x00,0x00,0x00,#000000
0.577349460000000,0,10,0x00,0x00,0x00,#000000
0.577379470000000,0,11,0x00,0x00,0x00,#000000
0.577409470000000,0,12,0x00,0x00,0x00,#000000
0.577439470000000,0,13,0x00,0x00,0x00,#000000
0.577469470000000,0,14,0x00,0x00,0x00,#000000
0.577499470000000,0,15,0x00,0x00,0x00,#000000
0.588273140000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.588303140000000,0,1,0x00,0x00,0x00,#000000
0.588333150000000,0,2,0x00,0x00,0x00,#000000
0.588363150000000,0,3,0x00,0x00,0x00,#000000
0.588393150000000,0,4,0x00,0x00,0x00,#000000
0.588423150000000,0,5,0x00,0x00,0x00,#000000
0.588453150000000,0,6,0x00,0x00,0x00,#000000
0.588483150000000,0,7,0x00,0x00,0x00,#000000
0.588513150000000,0,8,0x00,0x00,0x00,#000000
0.588543150000000,0,9,0x00,0x00,0x00,#000000
0.588573150000000,0,10,0x00,0x00,0x00,#000000
0.588603150000000,0,11,0x00,0x00,0x00,#000000
0.588633150000000,0,12,0x00,0x00,0x00,#000000
0.588663150000000,0,13,0x00,0x00,0x00,#000000
0.588693150000000,0,14,0x00,0x00,0x00,#000000
0.588723160000000,0,15,0x00,0x00,0x00,#000000
0.599141670000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.599171670000000,0,1,0x00,0x00,0x00,#000000
0.599201670000000,0,2,0x00,0x00,0x00,#000000
0.599231670000000,0,3,0x00,0x00,0x00,#000000
0.599261670000000,0,4,0x00,0x00,0x00,#000000
0.599291680000000,0,5,0x00,0x00,0x00,#000000
0.599321680000000,0,6,0x00,0x00,0x00,#000000
0.599351680000000,0,7,0x00,0x00,0x00,#000000
0.599381680000000,0,8,0x00,0x00,0x00,#000000
0.599411680000000,0,9,0x00,0x00,0x00,#000000
0.599441680000000,0,10,0x00,0x00,0x00,#000000
0.599471680000000,0,11,0x00,0x00,0x00,#000000
0.599501680000000,0,12,0x00,0x00,0x00,#000000
0.599531680000000,0,13,0x00,0x00,0x00,#000000
0.599561680000000,0,14,0x00,0x00,0x00,#000000
0.599591680000000,0,15,0x00,0x00,0x00,#000000
0.610051600000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.610081600000000,0,1,0x00,0x00,0x00,#000000
0.610111600000000,0,2,0x00,0x00,0x00,#000000
0.610141600000000,0,3,0x00,0x00,0x00,#000000
0.610171600000000,0,4,0x00,0x00,0x00,#000000
0.610201600000000,0,5,0x00,0x00,0x00,#000000
0.610231600000000,0,6,0x00,0x00,0x00,#000000
0.610261610000000,0,7,0x00,0x00,0x00,#000000
0.610291610000000,0,8,0x00,0x00,0x00,#000000
0.610321610000000,0,9,0x00,0x00,0x00,#000000
0.610351610000000,0,10,0x00,0x00,0x00,#000000
0.610381610000000,0,11,0x00,0x00,0x00,#000000
0.610411610000000,0,12,0x00,0x00,0x00,#000000
0.610441610000000,0,13,0x00,0x00,0x00,#000000
0.610471610000000,0,14,0x00,0x00,0x00,#000000
0.610501610000000,0,15,0x00,0x00,0x00,#000000
0.621344690000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.621374690000000,0,1,0x00,0x00,0x00,#000000
0.621404690000000,0,2,0x00,0x00,0x00,#000000
0.621434690000000,0,3,0x00,0x00,0x00,#000000
0.621464690000000,0,4,0x00,0x00,0x00,#000000
0.621494690000000,0,5,0x00,0x00,0x00,#000000
0.621524690000000,0,6,0x00,0x00,0x00,#000000
0.621554700000000,0,7,0x00,0x00,0x00,#000000
0.621584690000000,0,8,0x00,0x00,0x00,#000000
0.621614700000000,0,9,0x00,0x00,0x00,#000000
0.621644700000000,0,10,0x00,0x00,0x00,#000000
0.621674700000000,0,11,0x00,0x00,0x00,#000000
0.621704700000000,0,12,0x00,0x00,0x00,#000000
0.621734700000000,0,13,0x00,0x00,0x00,#000000
0.621764700000000,0,14,0x00,0x00,0x00,#000000
0.621794700000000,0,15,0x00,0x00,0x00,#000000
0.632144660000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.632174660000000,0,1,0x00,0x00,0x00,#000000
0.632204670000000,0,2,0x00,0x00,0x00,#000000
0.632234670000000,0,3,0x00,0x00,0x00,#000000
0.632264670000000,0,4,0x00,0x00,0x00,#000000
0.632294670000000,0,5,0x00,0x00,0x00,#000000
0.632324670000000,0,6,0x00,0x00,0x00,#000000
